1,The Little Engine That Could,Watty Piper,Lois Lensky
1,Pat the Bunny,Dorothy Kunhardt,Dorothy Kunhardt
1,Make Way for Ducklings,Robert McCloskey,Robert McCloskey
1,The Runaway Bunny,Margaret Wise Brown,Clement Hurd
1,The Three Railway Engines,Reverend W. Awdry,William Middleton
1,Thomas the Tank Engine,Reverend W. Awdry,Reginald Payne
1,Goodnight Moon,Margaret Wise Brown,Clement Hurd
1,Lavender's Blue,Kathleen Lines,Harold Jones
1,Bedtime for Frances,Russell Hoban,Garth Williams
1,Miffy,Dick Bruna,Dick Bruna
1,Rosie's Walk,Pat Hutchins,Pat Hutchins
1,The Elephant and the Bad Baby,Elfrida Vipont,Raymond Briggs
1,The Very Hungry Caterpillar,Eric Carle,Eric Carle
1,Mr. Grumpy's Outing,John Birmingham,John Birmingham
1,Meg and Mog,Helen Nicoll,Jan Pienkowski
1,"Good Night, Alfie Atkins",Gunilla Bergstrom,Gunilla Bergstrom
1,Little Brown Bear,Claude Lebrun,Daniele Bour
1,Little Spook's Baby Sister,Inger Sandberg,Lasse Sandberg
1,"Fly, Little Bird",Francesco Tullio Atlan,Fransesco Tullio Atlan
1,Each Peach Pear Plum,Allan Ahlberg,Janet Ahlberg
1,Where's Spot,Eric Hill,Eric Hill
1,The Baby's Catalogue,Alan Ahlberg,Janet Ahlberg
1,Dear Zoo,Rod Campbell,Rod Campbell
1,"Good Dog, Carl",Alexandra Day,Alexandra Day
1,Bathwater's Hot,Shirley Hughes,Shirley Huges
1,"Tickle, Tickle",Helen Oxenbury,Helen Oxenbury
1,Elmer,David McKee,David McKee
1,We're Going on a Bear Hunt,Michael Rosen,Helen Oxenbury
1,Bunny Bath,Lena Anderson,Lena Anderson
1,Kipper,Mick Inkpen,Mick Inkpen
1,Maisy Goes to Playschool,Lucy Cousins,Lucy Cousins
1,Owl Babies,Martin Waddell,Patrick Benson
1,Handa's Surprise,Eileen Browne,Eileen Browne
1,Alvin Says Good Night,Ulf Lofgren,Ulf Lofgren
1,The Bear Went Over the Mountain,John Prater,John Prater
1,Humphrey's Corner,Sally Hunter,Sally Hunter
1,Julian the Rabbit,Nicoletta Costa,Nicoletta Costa
3,The Quangle Wangle's Hat,Edward Lear,Louise Voce
3,Mother Goose,Kate Greenaway,Kate Greenaway
3,Marigold Garden,Kate Greenaway,Kate Greenaway
3,The Jolly Aunt,Lothar Meggendorfer,Lothar Meddenforfer
3,Peter in Blueberry Land,Elsa Beskow,Elsa Beskow
3,The Tale of Peter Rabbit,Beatrix Potter,Beatrix Potter
3,The Tale of Mr. Jeremy Fisher,Beatrix Potter,Beatrix Potter
3,The Story of the Root Children,Sibylle von Olfers,Sibylle von Olfers
3,The Tale of Jemima Puddle-Duck,Beatrix Potter,Beatrix Potter
3,The Children of the Forest,Elsa Beskow,Elsa Beskow
3,Clever Bill,William Nicholson,William Nicholson
3,Winnie-the-Pooh,A.A. Milne,E.H. Shepard
3,The Story of Babar,Jean de Brunhoff,Jean de Brunhoff
3,The Story about Ping,Majorie Flack,Kurt Wiese
3,Blinky Bill,Dorothy Wall,Dorothy Wall
3,The Story of Ferdinand,Munro Leaf,Robert Lawson
3,Orlando,Kathleen Hale,Kathleen Hale
3,Little Toot,Hardie Gramatky,Hardie Gramatky
3,Madeline,Ludwig Bemelans,Ludwig Bemelans
3,Mike Mulligan,Virginia Lee Burton,Virginia Lee Burton
3,Curious George,Margaret Rey,H.A. Rey
3,The Little House,Virginia Lee Burton,Virginia Lee Burton
3,The Little Red Lighthouse,Hildegarde H. Swift,Lynd Ward
3,"Moomin, Myble and Little My",Tove Jansson,Tove Jansson
3,My Naughty Little Sister,Dorothy Edwards,H. Garland
3,Martine,Gilbert Delahaye,Marcel Marlier
3,Eloise,Kay Thompson,Hilary Knight
3,Harry the Dirty Dog,Gene Zion,Margaret Bloy Graham
3,The Cat in the Hat,Dr. Seuss,Dr. Seuss
3,The Cow Who Fell in the Canal,Phyllis Krasilovsky,Peter Spier
3,A Bear Called Paddington,Michael Bond,Peggy Fortnum
3,Little Blue and Little Yellow,Leo Lionni,Leo Lionni
3,Green Eggs and Ham,Dr. Seuss,Dr. Seuss
3,"Go, Dog. Go!",P.D. Eastman,P.D. Eastman
3,The Berenstain Bears,Stan and Jan Berenstain,Stan and Jan Berenstain
3,Ivor the Engine,Oliver Postgate,Peter Firmin
3,Clifford the Big Red Dog,Norman Birdwell,Norman Birdwell
3,Where the Wild Things Are,Maurice Sendak,Maurice Sendak
3,"Lyle, Lyle, Crocodile",Bernard Waber,Bernard Waber
3,"Brown Bear, Brown Bear, What Do You See?","Bill Martin, Jr.",Eric Carle
3,What Does the Mouse Think on Thursday,Josef Guggenmos,Gunther Stiller
3,What Do People Do All Day?,Richard Scarry,Richard Scarry
3,Corduroy,Don Freeman,Don Freeman
3,The Wonderful Tree,Ulf Lofgren,Ulf Lofgren
3,In the Night Kitchen,Maurice Sendak,Maurice Sendak
3,Barbapapa,Annette Tison and Talus Taylor,Annette Tison and Talus Taylor
3,Mr Tickle,Roger Hargreaves,Roger Hargreaves
3,Lotta's Bike,Astrid Lindgren,Ilon Wikland
3,Little I Am I,Mira Lobe,Susi Weigel
3,The Church Mouse,Graham Oakley,Graham Oakley
3,The Sea-Thing Child,Russell Hoban,Abrom Hoban
3,Father Christmas,Raymond Briggs,Raymond Briggs
3,My Cat Likes to Hide in Boxes,Eve Sutton,Lynley Dodd
3,Who's Seen the Scissors,Fernando Krahn,Fernando Krahn
3,Morris's Disappearing Bag,Rosemary Wells,Rosemary Wells
3,Uppo the Bear,Elina Karjalainen,Hannu Taina
3,Burglar Bill,Allan Ahlberg,Janet Ahlberg
3,Dogger,Shirley Hughes,Shirley Huges
3,Up in the Tree,Margaret Atwood,Margaret Atwood
3,The Snowman,Raymond Briggs,Raymond Briggs
3,Freight Train,Donald Crews,Donald Crews
3,"Is That a Monster, Alfie Atkins?",Gunilla Bergstrom,Gunilla Bergstrom
3,Ox-Cart Man,Donald Hall,Barbara Cooney
3,Mister Magnolia,Quentin Blake,Quentin Blake
3,Peace at Last,Jill Murphy,Jill Murphy
3,Mr. Archimedes' Bath,Pamela Allen,Pamela Allen
3,Leo and Popi,Marie-Agnes Gaudrat,Helen Oxenbury
3,Postman Pat's Treasure Hunt,John A. Cunliffe,Celia Berridge
3,Ernest and Celestine Have Lost Simon,Gabrielle Vincent,Gabrielle Vincent
3,Alfie Gets in First,Shirley Hughes,Shirley Huges
3,One Wooly Wombat,Rod Trinca,Kerry Argent
3,Avocado Baby,John Birmingham,John Birmingham
3,Gorilla,Anthony Browne,Anthony Browne
3,Angelina Ballerina,Katharine Holabird,Helen Craig
3,Dusty Wants to Help,Inger Sandberg,Lasse Sandberg
3,We are the Triplets,Roser Capdevila,Roser Capdevila
3,Hairy Maclary from Donaldson's Dairy,Lynley Dodd,Lynley Dodd
3,Possum Magic,Mem Fox,Julie Vivas
3,Felix and Alexander,Terry Denton,Terry Denton
3,Pancake for Findus,Sven Nordqvist,Sven Nordqvist
3,Love you Forever,Robert Munsch,Sheila McGraw
3,This is the Bear,Sarah Hayes,Helen Craig
3,Old Bear,Jane Hissey,Jane Hissey
3,Owl Moon,Jane Yolen,John Schoenherr
3,Winnie the Witch,Valerie Thomas,Korky Paul
3,"Can't you Sleep, Little Bear?",Martin Waddell,Barbara Firth
3,Crocodile Beat,Gail Jorgensen,Patricia Mullins
3,Stina,Lena Anderson,Lena Anderson
3,Fire-Engine Lil,Janet McLean,Andrew McLean
3,One Snowy Night,Nick Butterworth,Nick Butterworth
3,Mousehole Cat,Antonia Barber,Nicola Bayley
3,Amazing Grace,Mary Hoffman,Caroline Binch
3,Window,Jeannie Baker,Jeannie Baker
3,Slinky Malinki,Lynley Dodd,Lynley Dodd
3,T'choupi,Thierry Courtin,Thierry Courtin
3,Frog in Winter,Max Velthuijs,Max Velthuijs
3,Where's My Teddy,Jez Alborough,Jez Albourough
3,Okilele,Claude Ponti,Claude Ponti
3,"Sleep Well, Little Bear",Quint Buchholz,Quint Buchholz
3,Poems for the Very Young,Michael Rosen,Bob Graham
3,Guess How Much I Love You,Sam McBratney,Anita Jeram
3,The Story of the Little Mole,Werner Holzwarth,Wolf Erlbruch
3,Garden of Little Creatures,Antoon Krings,Antoon Krings
3,Clown,Quentin Blake,Quentin Blake
3,Runaway Train,Benedict Blathwayt,Benedict Blathwayt
3,Bad Habits!,Babette Cole,Babette Cole
3,Pumpkin Soup,Helen Cooper,Helen Cooper
3,Molly Goes Shopping,Eva Eriksson,Eva Eriksson
3,The Magic Pocket,Michio Mado,Mitsumasa Anno
3,Rose Goes to Daycare,Barbro Lindgren,Eva Eriksson
3,Jamela's Dress,Niki Daly,Niki Daly
3,Harry and the Bucketful of Dinosaurs,Ian Whybrow,Adrian Reynolds
3,The Gruffalo,Julia Donaldson,Axel Scheffler
3,Crispin,Ted Dewan,Ted Dewan
3,Max,Bob Graham,Bob Graham
3,Olivia,Ian Falconer,Ian Falconer
3,Madlenka,Peter Sis,Peter Sis
3,Marc Just Couldn't Sleep,Gabriela Keselman,Noemi Villamuza
3,The Widemouthed Frog,Francine Vidal,Elodie Nouhen
3,Tatu and Paty in Helsinki,Aino Havukainen and Sami Toivonen,Aino Havukainen and Sami Toivonen
3,Don't Let the Pigeon Drive the Bus!,Mo Willems,Mo Willems
3,Knuffle Bunny: A Cautionary Tale,Mo Willems,Mo Willems
3,Unknown or Forgotten Princess,Philippe Lechermeier,Rebecca Dautremer
3,Lost and Found,Oliver Jeffers,Oliver Jeffers
5,Traditional Chinese Folktales,Unknown,Unknown
5,Tales of Otogizoshi,Unknown,Unknown
5,The Adventures of Peach Boy,Unknown,Unknown
5,Fairy Tales from the Past,Charles Perrault,Charles Perrault
5,Grimms' Fairy Tales,Jacob and Wilhelm Grimm
5,A Visit From St. Nicholas,Clement Clarke Moore,Clement Clarke Moore
5,Fifty Fables for Children,Wilhelm Hey,Otto Speckter
5,The Emperor's New Clothes,Hans Christian Andersen,Hans Christian Andersen
